Player,Team,Team within selected timeframe,Position,Age,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Height,Weight,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",country_league
A. Törrönen,JyPK,KuPS,"LWF, LW, RWF",23,14,476,1,2.16,1,0.99,31.01,46.95,Finland,Finland,0,0,9.64,8.51,71.11,3.78,40,0,0,0,3.59,4.83,0.76,1,0.19,0,0,6.43,0.19,1,0.19,0.41,0,0,17,3.21,47.06,5.882,0.19,3.03,56.25,6.62,45.71,13.24,34.29,5.86,5.48,4.35,0,20.8,68.18,4.73,64,5.11,70.37,6.62,68.57,1.13,66.67,15.71,10.43,0.19,1.51,0,0,0.38,50,0.57,2.27,50,2.08,63.64,0.38,50,0.76,1.7,3.97,61.9,Finland 2020
I. Lehkonen,,KuPS,"LCB, RCB",22,13,476,0,0,0,0,14.94,56.96,Finland,Finland,0,0,8.51,8.32,70.45,1.13,66.67,0.38,0.53,0,2.27,3.19,0.95,1,0.19,0,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0.19,0,1.13,66.67,3.21,35.29,0.38,1.32,0,0,36.87,83.08,13.99,72.97,2.84,100,16.45,89.66,3.4,50,18.14,17.62,0,0,0,0,0.38,0,0,6.05,62.5,0.57,0,0.76,0,0,0,6.43,61.76,Finland 2020
E. Sutela,Honka,Honka,"LCMF, RCMF, CF",20,13,476,0,1.17,1,0.14,27.84,47.37,Finland,Finland,0,0,11.3,11.72,62.5,3.56,41.18,0.42,0.52,0,3.56,4.43,2.09,2,0.38,0,0,2.93,0,0,0,0.25,0,0,9,1.88,33.33,0,0.21,0.84,25,3.14,53.33,6.49,48.39,1.47,0.63,0.42,1.05,28.67,72.26,9.42,53.33,6.28,100,8.58,90.24,1.26,16.67,17.4,8.28,0.03,0.21,0,0,1.05,40,0.21,2.51,66.67,1.88,33.33,1.47,28.57,0.63,0,3.56,58.82,Finland 2020
A. Nurmi,TiPS,TiPS,"RWB, RB, LB",24,17,472,0,0.62,0,0.64,25.61,55.22,Finland,Finland,0,0,11.08,12.04,60.32,2.87,66.67,0,0,0.19,3.82,4.92,1.53,1,0.19,0,0,3.63,0,0,0,0.12,0,0,6,1.15,50,0,0,2.48,46.15,3.82,50,7.45,35.9,2.29,1.53,0.76,0.38,40.32,75.36,16.62,65.52,5.54,82.76,12.23,82.81,3.63,36.84,17.52,22.63,0.12,1.15,0,0,0.19,0,0.38,5.92,54.84,2.87,53.33,0.76,50,0.76,1.15,9.94,69.23,Finland 2020
K. Kotka,,KuPS,"LB, RCMF",27,10,462,0,0.08,1,0.51,21.04,55.56,Finland,Finland,0,0,10.52,9.16,68.09,2.53,46.15,0,0,0,4.29,6.06,1.36,0,0,0,0,4.48,0,0,0,0.02,0,0,3,0.58,66.67,0,0.19,4.68,45.83,3.51,55.56,6.62,50,0.78,1.95,0.58,0.19,41.49,73.71,18.51,69.47,4.87,92,11.69,80,4.87,40,25.26,41.47,0.1,1.17,0.19,0,0.39,0,0.58,9.55,59.18,5.06,65.38,2.14,27.27,1.56,1.95,12.47,84.38,Finland 2020
P. Saarilahti,Ilves,Ilves,"RW, RB, RWF",22,11,458,0,0.38,1,0.46,18.98,38.82,Finland,Finland,0,0,9.16,6.7,53.33,1.12,60,0.22,0.29,0,5.36,7.06,1.34,0,0,0,0,3.57,0,0,0,0.08,0,0,5,1.12,60,0,0.22,2.68,25,3.57,56.25,7.15,34.38,1.34,1.56,0.45,0.67,31.49,58.87,12.73,42.11,4.69,95.24,10.72,62.5,5.14,39.13,20.23,11.25,0.1,0.89,0,0,0.67,33.33,0.45,5.36,45.83,3.8,35.29,1.34,50,0.67,0.67,7.59,55.88,Finland 2020
Frida Lähteenmäki,Lidköping,TPS,"LCB, LB, RCB",24,6,430,0,0.06,1,0,14.23,54.41,Finland,Finland,0,0,11.72,6.91,78.79,1.47,28.57,0.21,0.18,0.84,6.07,5.15,0,0,0,0,0,1.05,0,0,0,0.01,0,0,1,0.21,100,0,0.21,0.84,25,1.47,42.86,3.14,26.67,0.42,0.21,0.42,0,30.56,78.08,12.14,67.24,2.72,84.62,12.77,88.52,2.72,23.08,25.58,15.23,0,0,0,0,0,0,0,2.3,36.36,0.21,0,0,0,0,0,5.86,50,Finland 2020
K. Autio,PK-35 Vantaa,PK-35 Vantaa,"LW, LCMF, RB",21,9,430,0,0.75,0,0.1,21.56,49.51,Finland,Finland,0,0,5.65,5.44,69.23,1.47,42.86,0,0,0,1.88,2.41,1.05,0,0,0,0,3.14,0,0,0,0.16,0,0,6,1.26,16.67,0,0,2.3,9.09,5.65,48.15,10.67,41.18,1.88,2.51,0.63,0.63,27,74.42,6.7,62.5,8.58,92.68,7.74,72.97,1.05,60,15.37,10.93,0.02,0.42,0.21,0,0,0,0.21,2.51,66.67,2.3,18.18,0.21,0,0.21,0.21,3.35,68.75,Finland 2020
V. Saastamoinen,,PK-35 Vantaa,"CF, RWF",26,10,407,2,1.98,0,1.1,16.36,27.03,Finland,Finland,0,0,2.21,3.54,50,0.66,0,0,0,0,0.44,0.54,1.11,0,0,0,0,3.32,0.44,2,0.44,0.44,1,0.22,11,2.43,45.45,18.182,0,3.1,35.71,4.2,26.32,8.18,21.62,3.1,0.44,0,1.11,20.34,65.22,3.98,50,6.19,89.29,6.41,55.17,0,0,13.44,0,0.24,1.11,0,0,0.66,0,0.88,0.66,66.67,3.54,50,0,0,0.88,1.33,2.87,69.23,Finland 2020
M. Toppinen,,KuPS,"LCB, LB",29,7,407,0,0.02,0,0.02,12.38,64.29,Finland,Finland,0,0,12.38,7.08,84.38,2.65,33.33,0,0,0.66,6.41,8.79,0.66,1,0.22,0,0,0.22,0,0,0,0,0,0,1,0.22,0,0,0,0,0,0.44,50,1.11,40,0.22,0.22,0,0.22,43.56,79.7,19.46,64.77,2.87,92.31,17.47,93.67,10.39,57.45,21.47,29.58,0,0.22,0,0,0,0,0,6.41,62.07,0.44,50,0.44,50,0.88,0,11.06,62,Finland 2020
