Player,Team,Team within selected timeframe,Position,Age,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Height,Weight,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",country_league
D. Fuentes,Necaxa,Necaxa,"RCMF, AMF",24,28,2112,0,0.91,1,0.28,23.78,49.7,Mexico,Mexico,170,57,11.82,9.88,64.59,2.88,57.38,0,0,0.14,5.44,6.78,1.09,2,0.09,0,0,1.7,0,0,0,0.04,0,0,16,0.76,18.75,0,0.05,0.28,50,3.12,42.42,7.47,29.75,0.52,0.71,0.33,0.52,26.14,72.33,11.06,58.97,4.63,86.73,5.72,83.47,2.32,40.82,16.34,27.18,0.01,0.43,0,0,0.43,22.22,0,5.25,55.86,0.71,53.33,0.47,30,0.38,0.14,5.53,58.97,Mexico 202122
N. Antonio,Tigres UANL,Tigres UANL,"RDMF, RCMF, DMF",26,31,2110,2,2.44,0,0.21,19.75,56.16,Mexico,Mexico,174,60,10.11,5.16,69.42,4.48,53.33,0,0,0.09,6.53,12.97,0.68,1,0.04,0,0,1.49,0.09,1,0.04,0.1,1,0.04,29,1.24,20.69,6.897,0,0.38,11.11,1.92,60,6.74,51.9,0.85,0.68,0.13,1.28,44.87,80.61,14.63,63.27,3.88,89.01,21.2,90.34,6.31,53.38,21.25,34.32,0.01,0.26,0,0,0.26,16.67,0.09,9.21,65.28,1.24,27.59,0.81,15.79,0.3,0.04,7.34,72.09,Mexico 202122
M. Rodríguez,América,América,"RB, RWB",23,28,2108,0,0.84,4,2.27,12.56,54.65,Mexico,Mexico,0,0,7.47,6.12,61.83,1.21,53.85,0.09,0.15,0.05,3.59,5.69,0.93,6,0.26,0,0,2.57,0,0,0,0.04,0,0,10,0.47,50,0,0.19,3.55,35.53,1.68,63.89,2.99,45.31,1.03,1.68,0.61,0.19,30.2,63.52,15.03,58.7,2.52,88.89,8.82,65.61,5.37,34.78,22.02,31.72,0.11,0.65,0,0.05,0.14,0,0.47,6.54,51.43,3.36,37.5,0.47,10,0.19,1.21,8.87,73.16,Mexico 202122
Edith Carmona,Cruz Azul,Cruz Azul,LB,19,27,2106,0,0.15,0,0.11,17.18,55.47,Mexico,Mexico,160,58,11.62,10.17,61.34,0.64,40,0.26,0.36,0.26,5.13,7.13,0.6,3,0.13,0,0,1.32,0,0,0,0.01,0,0,10,0.43,20,0,0,1.07,24,1.71,57.5,4.27,45,0.38,0.73,0.26,0.6,26.84,69.59,12.99,63.82,3.38,82.28,6.24,74.66,4.49,50.48,17.41,27.61,0,0.04,0.04,0,0.09,0,0.04,3.08,58.33,0.85,40,0.17,0,0.13,0.3,7.31,44.44,Mexico 202122
Dalia Molina,Cruz Azul,Cruz Azul,"AMF, LW, CF",22,31,2100,6,5.63,1,0.91,14.4,43.15,Mexico,Mexico,158,46,4.71,3.43,67.5,2.27,32.08,0.09,0.13,0.13,2.31,3.49,0.26,0,0,0,0,1.76,0.26,6,0.26,0.24,0,0,35,1.5,42.86,17.143,0.04,0.9,23.81,1.63,50,5.74,35.82,1.54,0.77,0.47,1.24,17.79,68.67,4.07,50.53,4.29,84,5.79,71.85,1.03,50,15.64,13.23,0.04,0.39,0,0.04,0.47,18.18,0.17,1.54,44.44,1.24,31.03,0.51,16.67,0.21,0.26,2.36,56.36,Mexico 202122
R. Ruvalcaba,Atlético de San Luis,Atlético de San Luis,"LB, LWB",20,26,2099,1,0.45,0,0.15,20.29,47.29,Mexico,Mexico,155,51,12.56,9.69,54.68,1.24,38.46,0.57,0.79,0.05,6.68,9.19,1,4,0.17,1,0.04,1.24,0.04,1,0.05,0.02,1,0.05,8,0.38,50,12.5,0,0.43,22.22,2.2,43.48,5.82,38.52,0.14,0.57,0.38,0.57,24.73,68.34,11.08,59.05,4.01,91.67,5.44,65.79,3.58,29.33,17.62,32.32,0.01,0.1,0,0,0.05,0,0,2.86,43.33,1.15,16.67,0.24,40,0.14,0.05,5.44,42.98,Mexico 202122
S. Gutiérrez,Pachuca,Pachuca,LB,33,22,2099,0,0.26,1,1.37,15.5,53.02,Mexico,Mexico,0,0,8.56,6.84,58.99,2.26,54.35,0.1,0.16,0.15,4.43,7.18,1.18,4,0.17,0,0,2.31,0,0,0,0.01,0,0,5,0.25,60,0,0.05,2.61,32.08,2.17,61.36,3.69,46.67,0.59,1.03,0.54,0.59,32.82,69.27,15.45,60.19,4.08,91.57,8.61,76,3.84,42.31,19.44,31.48,0.07,0.49,0.1,0,0.44,0,0.39,5.22,51.89,2.17,36.36,0.93,10.53,0.25,0.84,7.92,63.98,Mexico 202122
J. Tenorio,Puebla,Puebla,LCMF,23,28,2090,3,0.99,1,0.48,23.94,49.44,Mexico,Mexico,0,0,12.92,9.05,66.67,2.75,44.26,0.9,1.33,0.32,5.99,8.87,1.8,5,0.22,0,0,0.95,0.13,2,0.09,0.04,2,0.09,24,1.08,20.83,8.333,0.05,0.45,50,0.99,40.91,6.57,32.19,1.26,0.18,0.05,1.53,30.56,80.41,8.55,70.53,7.11,86.08,8.55,82.63,1.71,50,16.17,26.73,0.02,0.59,0.05,0,0.45,20,0.09,3.83,62.35,1.17,38.46,0.5,18.18,0.32,0.23,4.28,60,Mexico 202122
E. Gomez,Santos Laguna,Santos Laguna,"LW, LAMF",27,29,2077,4,2.75,0,1.52,23.92,45.13,Mexico,Mexico,0,0,8.96,7.79,59.77,2.82,42.86,0.09,0.13,0.09,4.21,6.27,1.79,6,0.26,1,0.04,3.36,0.17,3,0.13,0.12,0,0,42,1.88,28.57,7.143,0,2.69,23.33,3.9,49.43,8.78,36.73,1.88,1.52,0.9,0.94,23.07,62.33,7.75,50.87,3.72,86.75,6.54,60.96,2.6,44.83,17.91,31.64,0.07,0.72,0.09,0.04,0.36,75,0.22,3.09,44.93,2.46,40,0.4,66.67,0.63,0.72,4.61,69.9,Mexico 202122
L. Lucero,Santos Laguna,Santos Laguna,LCB,28,25,2069,1,1.7,1,1.88,17.24,59.89,Mexico,Mexico,166,0,10.23,8.09,67.98,2.91,54.69,0.05,0.07,0.36,4.68,7.1,1.46,7,0.3,1,0.04,1.32,0.04,1,0.05,0.08,0,0,21,0.96,28.57,4.762,0.05,0.32,57.14,1.09,75,4.05,56.18,0.41,0.5,0.41,0.91,32.38,73.88,19.6,64.04,1.64,94.44,8.64,89.47,11.19,55.28,24.44,37.74,0.09,0.68,0,0.14,0.09,50,0.05,6.73,52.03,1,27.27,0.5,27.27,0.18,0.18,10.05,70.14,Mexico 202122
J. García,Querétaro,Querétaro,"LW, CF, RW",24,26,2060,6,5.03,1,1.59,21.71,44.84,Mexico,Mexico,156,54,6.67,4.87,64,3.02,43.55,0.29,0.41,0,3.26,4.61,1.27,5,0.22,1,0.04,2.63,0.26,5,0.24,0.24,0,0,33,1.61,54.55,18.182,0.05,0.68,28.57,3.65,40,9.88,36.95,1.75,1.41,1.51,2.48,24.39,73.65,5.69,58.12,6.13,84.92,5.99,76.42,1.27,34.62,14.63,22.26,0.08,0.92,0,0.1,0.24,40,0.34,2.63,53.7,1.27,57.69,0.39,50,0.88,0.15,2.97,62.3,Mexico 202122
Daniela Sánchez,Querétaro,Querétaro,"CF, LWF, RCMF",28,28,2056,4,2.56,3,1.69,24.28,33.68,Mexico,Mexico,163,66,4.75,4.24,54.22,2.71,33.96,0.56,0.8,0,1.89,2.69,1.89,6,0.26,0,0,2.76,0.18,4,0.2,0.13,2,0.1,28,1.43,39.29,14.286,0.15,0.66,30.77,4.09,38.75,13.24,27.8,1.18,0.66,0.41,1.28,18.6,67.31,6.39,56,2.81,85.45,4.96,71.13,1.79,37.14,15.59,22.69,0.09,1.02,0.05,0,1.12,36.36,0.36,2.96,51.72,1.74,47.06,1.48,31.03,0.56,0.26,3.22,65.08,Mexico 202122
D. Delgado,Pumas UNAM,Pumas UNAM,LCB,35,23,2056,0,0.17,0,0,14.01,60.78,Mexico,Mexico,0,62,8.97,5.77,74.6,2.11,50,0,0,0.37,4.67,7.37,0.41,1,0.04,0,0,0.92,0,0,0,0.01,0,0,2,0.09,0,0,0,0,0,1.14,76,3.75,43.9,0.32,0.41,0.27,0.96,35.39,78.91,15.98,66.48,3.94,93.02,12.59,91.64,4.94,48.15,20.24,26.38,0,0.05,0,0,0.05,100,0,2.43,45.28,0.23,0,0.18,0,0,0,7.14,50.64,Mexico 202122
K. Martínez,Santos Laguna,Santos Laguna,"LB, RB",21,24,2041,0,0.13,0,0.11,14.76,57.19,Mexico,Mexico,162,58,9.23,9.13,67.17,1.8,35.9,0,0,0.05,3.09,4.76,1.01,3,0.13,1,0.04,1.15,0,0,0,0.01,0,0,5,0.23,40,0,0,1.29,39.29,0.83,66.67,1.75,50,0,0.69,0.18,0.18,22.05,66.11,11.81,60.94,2.58,83.93,4.94,73.83,3.51,46.05,18.13,30.25,0.01,0.28,0,0.05,0.05,0,0,3.32,58.33,1.57,32.35,0.28,0,0.09,0.6,6.37,60.14,Mexico 202122
G. Álvarez,Cruz Azul,Cruz Azul,"RCB, LCB, CB",26,23,2038,1,0.82,1,1.19,13.81,55.03,Mexico,Mexico,166,55,10.71,7.69,57.83,2.5,61.11,0.88,1.3,0.56,5.38,7.93,1.34,9,0.4,1,0.04,0.97,0.04,1,0.05,0.04,0,0,17,0.79,47.06,5.882,0.05,0.09,50,0.7,73.33,1.67,52.78,0.28,0.28,0.28,0.6,26.14,65.6,16.08,54.47,1.25,88.89,7,84.77,8.34,45.56,25.09,37.55,0.05,0.42,0.05,0.05,0.05,100,0.05,4.82,36.54,0.79,35.29,0.65,35.71,0.28,0.05,7.23,57.05,Mexico 202122
E. Salazar,Pachuca,Pachuca,"CF, RW, LW",24,29,2012,12,7.69,1,1.18,17.26,36.01,Mexico,Mexico,158,60,4.05,3.22,53.45,2.77,26,0.28,0.48,0,2.05,3.52,0.55,2,0.09,0,0,3.5,0.54,7,0.39,0.43,2,0.11,51,2.83,45.1,17.647,0.06,0.61,36.36,3.22,56.9,8.38,37.09,3.66,1.11,0.44,1.05,16.04,68.51,4.77,52.33,3.11,89.29,4.88,69.32,1.89,41.18,17.13,20.63,0.07,0.55,0,0,0.55,30,0.39,2.5,48.89,1.28,34.78,0.72,53.85,0.61,0.17,2.27,70.73,Mexico 202122
N. Granados,Toluca,Toluca,"DMF, LCMF, RCMF",19,23,2012,0,0.58,2,1.33,20.65,55.78,Mexico,Mexico,0,0,13.91,10.07,66.05,3.32,45.07,0.05,0.07,0.33,7.21,10.77,1.78,5,0.22,0,0,0.98,0,0,0,0.03,0,0,23,1.08,21.74,0,0.09,0.61,23.08,0.94,55,3.51,45.33,0.28,0.19,0.05,1.12,28.56,64.1,13.81,50.51,2.9,87.1,8.38,78.21,6.93,47.3,20.24,32.56,0.06,0.75,0.05,0.05,0.14,66.67,0.14,5.76,48.78,1.55,18.18,1.17,24,0.33,0.14,6.88,59.18,Mexico 202122
Michell Guerrero,Mazatlán,Mazatlán,"LCB, RCB",23,25,1997,1,1.37,0,0.32,13.88,58.44,Mexico,Mexico,0,0,10.37,4.87,67.59,5.81,56.59,0.14,0.17,0.9,6.94,8.51,0.41,1,0.05,0,0,0.27,0.05,0,0,0.06,0,0,5,0.23,40,20,0,0.09,50,0.18,75,0.77,52.94,0.32,0,0,0.18,22.58,71.46,12.3,62.64,0.86,78.95,7.44,85.45,6.13,47.79,21.49,30.83,0.01,0.05,0,0,0,0,0.05,2.48,34.55,0.14,33.33,0.14,33.33,0.09,0,5.72,40.94,Mexico 202122
K. Soto,Guadalajara,Guadalajara,"RAMF, CF, RW",26,30,1985,2,4.76,5,3.84,27.52,44.98,Mexico,Mexico,0,0,10.07,7.25,61.88,2.99,43.94,0.14,0.23,0.09,5.44,9.35,1.22,3,0.14,0,0,5.26,0.09,2,0.09,0.22,0,0,39,1.77,35.9,5.128,0.23,2.81,37.1,5.94,55.73,13.33,39.46,2.63,1.77,1.04,1.59,28.56,73.33,5.85,61.24,7.35,93.21,8.57,66.67,1.18,46.15,16.55,18.1,0.17,1.13,0.09,0,0.68,40,0.63,2.68,64.41,3.04,46.27,0.91,45,0.63,1,4.31,69.47,Mexico 202122
G. Olvera,Necaxa,Necaxa,GK,23,21,1984,0,0,0,0.04,1.3,84.62,Mexico,Mexico,167,49,2.2,0.1,50,0.85,94.12,0,0,0,2.15,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,100,0,0,0,0.2,10.93,66.21,8.48,59.41,0,0,2.1,95.24,7.63,55.56,41.69,47.47,0,0.05,0,0,0,0,0,2,35,0.05,0,0,0,0,0,5.34,76.64,Mexico 202122
D. Padilla,Pumas UNAM,Pumas UNAM,"DMF, LCMF, RDMF",26,23,1976,1,1.58,0,0.92,19.14,55.86,Mexico,Mexico,0,0,11.69,7.87,77.58,2.24,44.68,0.19,0.3,0.14,5.39,8.48,0.62,1,0.05,0,0,0.95,0.05,1,0.05,0.08,0,0,16,0.76,43.75,6.25,0,0.29,50,1.05,36.36,5.63,30.51,0.43,0.14,0.1,0.91,39.13,78.78,13.46,63.83,5.73,93.33,12.93,85.98,3.29,39.13,16.48,26.95,0.04,0.67,0,0,0.52,18.18,0.1,6.44,64.44,1.1,47.83,0.86,16.67,0.38,0.14,6.25,61.83,Mexico 202122
D. Cagigas,Pumas UNAM,Pumas UNAM,RCB,27,21,1970,2,1.21,0,0.34,14.39,64.76,Mexico,Mexico,0,0,9.27,6.62,74.48,2.1,41.3,0.73,1.24,0.23,3.61,6.14,0.96,5,0.23,0,0,1.23,0.09,2,0.09,0.06,0,0,5,0.23,60,40,0,0.14,66.67,1.19,84.62,2.83,66.13,0.27,0.55,0.14,0.96,41.53,84.27,17.09,73.26,3.34,90.41,18.41,93.05,6.94,52.63,22.09,33.13,0.02,0.18,0,0,0,0,0.09,3.38,58.11,0.32,14.29,0.27,16.67,0,0.05,7.77,62.35,Mexico 202122
D. Alvarado,Tijuana,Tijuana,"LW, LAMF, RW",29,28,1955,3,3.69,5,4.23,23.55,42.83,Mexico,Mexico,0,0,7.43,6.42,59.4,1.88,23.08,0,0,0.1,3.62,4.97,0.43,1,0.05,0,0,3.52,0.14,3,0.14,0.18,0,0,32,1.54,21.88,9.375,0.24,3.62,17.33,4.39,50.55,11.87,40.24,2.08,1.4,0.58,1.64,27.12,55.87,9.12,40.74,4.92,81.37,7.67,58.49,4.05,33.33,20.74,32.38,0.2,1.06,0.05,0,0.58,58.33,0.58,3.91,37.04,3.67,32.89,1.4,34.48,0.82,0.77,4.97,59.22,Mexico 202122
N. Villarreal,Tigres UANL,Tigres UANL,LB,24,25,1954,0,0.37,1,2.17,16.44,57.14,Mexico,Mexico,157,52,9.44,6.4,66.91,2.63,61.4,0.51,1.02,0.09,4.65,9.38,0.74,0,0,0,0,2.44,0,0,0,0.02,0,0,9,0.41,33.33,0,0.05,1.8,43.59,2.72,54.24,4.65,48.51,0.37,2.35,1.34,0.46,45.74,81.77,18.52,75.12,6.54,93.66,15.2,86.06,5.48,46.22,18.97,31.86,0.1,0.74,0.05,0.05,0.14,33.33,0.28,7.69,80.24,2.76,50,0.92,35,0.64,0.78,11.65,77.87,Mexico 202122
Bea Parra,Atlético de San Luis,Atlético de San Luis,"CF, AMF",34,27,1943,7,6.99,2,1.55,27.36,43.11,Spain,Spain,165,58,6.36,5.71,62.26,2.53,27.66,0.32,0.49,0.16,2.48,3.73,1.29,4,0.19,0,0,5.33,0.32,5,0.27,0.38,0,0,75,4.04,41.33,8,0.11,1.18,13.64,5.28,63.27,14.87,42.39,2.21,1.4,0.86,2.59,19.5,61.05,6.46,40.83,3.29,91.8,6.09,68.14,2.1,38.46,18.28,27.27,0.08,0.92,0,0,1.02,15.79,0.22,3.02,37.5,1.72,37.5,1.35,12,0.54,0.16,2.91,72.22,Mexico 202122
N. Buenfil,Santos Laguna,Santos Laguna,GK,23,20,1938,0,0,0,0,1.12,78.26,Mexico,Mexico,0,0,1.9,0.15,66.67,0.68,85.71,0,0,0,1.8,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,100,0,0,0,0.29,12.42,78.43,7.31,70,0,0,4.58,91.49,5.41,58.56,32.83,42.09,0,0,0,0,0,0,0,0.49,20,0.05,0,0.1,0,0,0,4.53,63.44,Mexico 202122
M. Castillo,Guadalajara,Guadalajara,"LDMF, RDMF, LCMF",29,27,1936,1,1.61,1,0.09,18.27,49.36,Mexico,Mexico,0,0,10.04,7.95,56.14,3.44,40.54,0.37,0.59,0.28,5.21,8.32,1.81,2,0.09,0,0,0.88,0.05,1,0.05,0.07,0,0,24,1.12,29.17,4.167,0.05,0.14,33.33,0.7,60,3.49,40,0.6,0.23,0.14,1.3,38.45,79.69,13.39,64.58,6.14,93.94,14.18,89.18,3.72,48.75,17.68,25.56,0,0.14,0,0.05,0.19,50,0.09,5.53,67.23,0.46,40,0.23,40,0.33,0.05,6,58.14,Mexico 202122
M. Peña,Mazatlán,Mazatlán,"RW, CF, RAMF",22,25,1927,3,1.84,0,0.64,23.03,40.97,Mexico,Mexico,162,53,6.45,5.93,59.84,2.24,29.17,0,0,0.19,2.9,3.53,0.79,2,0.09,0,0,2.29,0.14,3,0.14,0.09,0,0,18,0.84,44.44,16.667,0,1.35,24.14,3.78,41.98,10.65,34.65,1.4,1.12,0.65,1.91,13.03,59.86,3.83,50,2.43,76.92,2.8,63.33,0.75,37.5,15.79,12.66,0.03,0.47,0,0.05,0.19,0,0.28,1.68,44.44,1.03,45.45,0.28,16.67,0.42,0.33,2.38,50.98,Mexico 202122
A. García,Atlas,Atlas,"RB, RW, LW",27,32,1927,0,1.89,3,2.85,25.31,50.18,Mexico,Mexico,0,0,9.99,8.59,64.67,3.32,47.89,0.61,1.06,0.33,3.83,6.7,1.49,3,0.14,0,0,3.83,0,0,0,0.09,0,0,17,0.79,64.71,0,0.14,3.78,24.69,4.34,52.69,9.34,44,1.91,1.77,1.35,1.35,26.76,63.7,8.59,51.63,4.86,84.62,9.01,64.77,3.69,41.77,20.6,30.34,0.13,0.7,0,0.05,0.19,50,0.65,3.41,45.21,2.71,31.03,0.47,20,0.33,0.84,5.46,64.96,Mexico 202122
L. Garcia Riefkohl,Necaxa,Necaxa,CF,,28,1921,7,3.89,0,0.92,24.75,44.88,Mexico,Mexico,165,0,4.37,3.99,56.76,5.66,55.24,0,0,0.11,2.1,2.61,1.46,2,0.09,0,0,3.24,0.33,6,0.32,0.21,0,0,36,1.94,58.33,19.444,0,1.24,43.48,3.45,45.31,10.52,40.51,1.73,0.86,0.38,3.07,16.45,67.54,3.67,42.65,3.29,81.97,5.39,71,0.75,28.57,17.07,16.84,0.05,0.49,0.05,0,0.16,0,0.11,1.78,42.42,1.13,52.38,0.11,0,0.43,0.49,1.89,51.43,Mexico 202122
María Sandoval,Mazatlán,Mazatlán,"RB, RW",23,23,1921,0,0.06,1,1.18,15.73,50.63,Mexico,Mexico,0,50,11.16,8.31,56.21,1.52,38.71,0.44,0.55,0.1,6.05,7.48,0.69,0,0,0,0,1.08,0,0,0,0,0,0,2,0.1,0,0,0.05,0.98,35,1.03,66.67,3.49,46.48,0.05,0.64,0.49,0.93,22.86,62.37,12.44,54.94,2.06,66.67,5.41,76.36,4.13,41.67,19.93,31.92,0.06,0.49,0,0,0.15,33.33,0.2,3.83,46.15,1.57,40.63,0.64,38.46,0.34,0.34,6.19,53.17,Mexico 202122
F. Delgado,Querétaro,Querétaro,"RB, LB, LW",21,25,1918,0,1.36,0,0.5,19.99,46.17,Mexico,Mexico,0,0,10.1,8.14,59.73,3,43.64,0.76,1.06,0.22,4.48,6.23,1.04,4,0.19,0,0,1.26,0,0,0,0.07,0,0,12,0.66,33.33,0,0,0.87,12.5,2.57,31.91,6.77,29.03,0.66,0.98,1.04,1.15,24.9,66.01,10.1,54.59,3.5,87.5,6.55,69.17,3.55,33.85,17.51,25.71,0.03,0.38,0.05,0,0.49,22.22,0.16,3.71,50,1.31,25,0.66,8.33,0.38,0.16,4.75,57.47,Mexico 202122
L. Ángeles,Pachuca,Pachuca,"LCMF, RCMF, CF",31,27,1917,3,1.79,2,2.18,16.21,45.61,Mexico,Mexico,158,55,5.97,4.38,55,1.81,39.39,0.88,1.48,0.11,2.68,4.54,0.66,1,0.05,0,0,1.75,0.14,2,0.11,0.1,0,0,28,1.53,28.57,7.143,0.11,1.04,21.05,1.81,54.55,6.57,40.83,1.37,0.71,0.44,1.26,31.94,78.73,8.87,61.11,7.12,94.62,11.28,79.13,2.03,54.05,17.1,26.33,0.12,1.75,0,0,0.71,15.38,0.33,4.82,63.64,1.53,35.71,0.82,13.33,0.71,0.27,4.77,64.37,Mexico 202122
M. Castro,Puebla,Puebla,"RW, AMF, CF",21,26,1901,1,2.66,3,1.8,27.56,36.83,Mexico,Mexico,0,0,8.24,8.09,63.03,4.41,24.44,0.25,0.33,0.1,2.89,3.86,0.78,2,0.09,0,0,2.45,0.05,1,0.05,0.13,1,0.05,25,1.23,44,4,0.15,1.77,30.56,3.29,35.82,10.79,24.55,2.35,0.69,0.78,0.59,23.79,75.05,5.4,63.64,6.28,89.06,6.28,71.09,1.18,45.83,14.17,17.53,0.09,0.83,0.1,0,0.44,44.44,0.39,1.96,65,1.91,46.15,0.59,33.33,0.64,0.64,3.04,66.13,Mexico 202122
Ericka Soto,FC Juárez,FC Juárez,"DMF, RCMF, LCMF",24,23,1870,0,0.22,0,0.52,18.47,52.87,Mexico,Mexico,0,0,11.41,8.28,63.46,3.34,63.49,0.48,0.64,0.58,5.68,7.62,1.17,4,0.19,0,0,0.58,0,0,0,0.01,0,0,6,0.32,16.67,0,0,0.05,100,1.49,32.14,3.71,30,0.21,0.42,0.11,0.8,21.86,66.26,9.82,51.35,3.34,87.3,5.57,77.14,3.34,28.57,16.42,26.56,0.03,0.48,0,0,0,0,0.11,4.4,40.96,0.64,16.67,0.32,16.67,0.11,0.05,3.98,52,Mexico 202122
I. Alvarado,Atlético de San Luis,Atlético de San Luis,GK,19,20,1845,0,0,0,0,1.64,81.48,Mexico,Mexico,0,0,1.52,0.18,66.67,1.09,88.89,0,0,0,1.39,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,100,0,0,0,0.24,13.94,78.26,8.85,71.23,0.06,100,4.61,90.79,7.27,61.67,32.33,39.07,0,0,0,0,0,0,0,0.42,28.57,0,0,0,0,0,0,4.61,57.89,Mexico 202122
L. Rangel,Tigres UANL,Tigres UANL,"RDMF, RCMF",30,30,1842,5,3.66,0,0.88,21.94,55.01,Mexico,Mexico,172,67,10.65,7.43,66.45,5.81,61.34,0.34,0.69,0.24,5.37,10.89,1.17,2,0.1,0,0,2.15,0.24,5,0.24,0.18,1,0.05,44,2.15,29.55,11.364,0,0.98,40,1.61,54.55,5.18,38.68,1.95,0.68,0.29,1.03,35.81,79.54,13.49,65.94,3.91,92.5,13.58,87.41,6.5,56.39,21.37,33.09,0.04,0.49,0.05,0.05,0.59,41.67,0.29,9.14,70.05,1.71,57.14,1.37,39.29,0.78,0.29,7.62,84.62,Mexico 202122
I. González,Sevilla,Tijuana,GK,27,19,1837,0,0,0,0,1.62,87.88,Mexico,Mexico,165,59,1.91,0,0,1.22,96,0,0,0.05,1.91,2.57,0,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,100,0,0,0,0.34,12.74,70.38,9.95,64.04,0,0,2.6,92.45,7.89,58.39,36.84,44.32,0,0,0,0,0,0,0,0.73,33.33,0.1,50,0,0,0.05,0,5.78,64.41,Mexico 202122
A. Curiel,FC Juárez,FC Juárez,CF,21,25,1830,4,6.07,0,0.99,26.59,37.87,Mexico,Mexico,0,0,4.53,3.34,61.02,6.22,50,0.51,0.72,0.34,1.98,2.79,0.96,4,0.2,0,0,1.98,0.2,0,0,0.34,0,0,30,1.7,40,13.333,0,0.11,0,2.15,57.89,12.56,26.58,2.72,0.51,0,1.7,16.86,73.49,3.73,57.58,5.03,86.52,4.13,75.34,0.45,37.5,14.39,9.85,0.06,0.79,0,0,0.17,33.33,0.4,2.15,57.89,0.62,54.55,0.17,0,0.51,0,1.47,69.23,Mexico 202122
C. Ibarra,Atlas,Atlas,"LW, LWF",28,25,1820,8,4.56,4,3.09,17.46,37.96,Mexico,Mexico,168,0,4.8,4.15,55.95,2.08,42.86,0.2,0.34,0.15,2.27,3.95,0.89,2,0.1,0,0,3.02,0.4,8,0.4,0.23,1,0.05,40,1.98,42.5,20,0.2,2.13,18.6,3.66,43.24,8.85,30.73,1.83,1.14,0.89,0.45,22.35,72.57,4.9,53.54,5.79,91.45,6.48,68.7,2.18,43.18,17.7,32.2,0.15,1.09,0.25,0,0.35,57.14,0.4,2.67,59.26,1.78,33.33,0.49,60,0.59,0.45,3.31,61.19,Mexico 202122
B. García,Atlético de San Luis,Atlético de San Luis,RB,26,22,1819,0,0.36,1,0.91,17.88,51.69,Mexico,Mexico,0,0,9.52,8.36,59.21,2.42,47.73,0.11,0.17,0.33,4.46,7,1.32,4,0.2,0,0,1.54,0,0,0,0.02,0,0,3,0.17,33.33,0,0.06,1.32,41.67,1.65,56.67,4.4,45,0.39,0.33,0.17,0.55,27.45,69.74,11.66,58.96,3.52,85.94,7.43,72.59,4.84,43.18,19.18,31.71,0.05,0.44,0,0,0.06,0,0.06,3.69,46.27,1.05,47.37,0.28,20,0.22,0.5,6.44,56.41,Mexico 202122
M. Sanchez,Houston Dash,Tigres UANL,"RAMF, RW",26,23,1814,11,6.05,7,5.71,23.42,47.46,Mexico,Mexico,165,61,5.8,4.12,69.88,2.28,63.04,0.2,0.41,0.05,2.73,5.63,0.4,1,0.05,0,0,7.24,0.55,11,0.55,0.3,2,0.1,70,3.47,42.86,15.714,0.35,3.97,40,6.85,52.9,13.79,43.17,4.66,1.98,0.84,1.04,31.46,77.29,6.65,70.9,9.72,90.82,9.97,67.66,2.33,51.06,18.12,37.35,0.28,1.74,0,0.05,0.84,64.71,0.84,3.03,54.1,3.62,54.79,1.19,54.17,1.39,1.54,5.46,82.73,Mexico 202122
